"Disease","Report Year","DHBName","Age Group (year)","Case Count","Case rate per 100,000"
"Poliomyelitis",2006,"Waitemata","0–4",0,0
"Arboviral diseases",2006,"Waitemata","0–4",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","0–4",0,0
"Rubella",2006,"Waitemata","0–4",0,0
"Shigellosis",2006,"Waitemata","0–4",2,6
"Hepatitis NOS",2006,"Waitemata","0–4",0,0
"Campylobacteriosis",2006,"Waitemata","0–4",192,577.5
"Brucellosis",2006,"Waitemata","0–4",0,0
"Cryptosporidiosis",2006,"Waitemata","0–4",19,57.1
"Legionellosis",2006,"Waitemata","0–4",0,0
"Mpox",2006,"Waitemata","0–4",0,0
"Hepatitis C",2006,"Waitemata","0–4",0,0
"Acute gastroenteritis",2006,"Waitemata","0–4",0,0
"Haemophilus influenzae type b",2006,"Waitemata","0–4",0,0
"Toxic shellfish poisoning",2006,"Waitemata","0–4",0,0
"Salmonellosis",2006,"Waitemata","0–4",46,138.4
"Typhoid fever",2006,"Waitemata","0–4",2,6
"Listeriosis",2006,"Waitemata","0–4",1,3
"Mumps",2006,"Waitemata","0–4",1,3
"Tuberculosis disease",2006,"Waitemata","0–4",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","0–4",0,0
"Giardiasis",2006,"Waitemata","0–4",25,75.2
"Invasive pneumococcal disease",2006,"Waitemata","0–4",0,0
"VTEC/STEC infection",2006,"Waitemata","0–4",1,3
"Rickettsial disease",2006,"Waitemata","0–4",0,0
"Hepatitis A",2006,"Waitemata","0–4",0,0
"Trichinosis",2006,"Waitemata","0–4",0,0
"Leprosy",2006,"Waitemata","0–4",0,0
"Malaria",2006,"Waitemata","0–4",0,0
"Diphtheria",2006,"Waitemata","0–4",0,0
"Q fever",2006,"Waitemata","0–4",0,0
"Pertussis",2006,"Waitemata","0–4",3,9
"Rheumatic fever",2006,"Waitemata","0–4",0,0
"Tetanus",2006,"Waitemata","0–4",0,0
"Yersiniosis",2006,"Waitemata","0–4",12,36.1
"Leptospirosis",2006,"Waitemata","0–4",0,0
"Hepatitis B",2006,"Waitemata","0–4",0,0
"Measles",2006,"Waitemata","0–4",2,6
"Cysticercosis",2006,"Waitemata","0–4",0,0
"Paratyphoid fever",2006,"Waitemata","0–4",1,3
"Meningococcal disease",2006,"Waitemata","0–4",2,6
"Taeniasis",2006,"Waitemata","0–4",0,0
"Hydatid disease",2006,"Waitemata","0–4",0,0
"Cholera",2006,"Waitemata","0–4",0,0
"Toxic shellfish poisoning",2006,"Waitemata","5–9",0,0
"Hepatitis NOS",2006,"Waitemata","5–9",0,0
"Poliomyelitis",2006,"Waitemata","5–9",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","5–9",0,0
"Mpox",2006,"Waitemata","5–9",0,0
"Arboviral diseases",2006,"Waitemata","5–9",0,0
"Cryptosporidiosis",2006,"Waitemata","5–9",4,11.7
"Rabies and other lyssaviruses",2006,"Waitemata","5–9",0,0
"Listeriosis",2006,"Waitemata","5–9",0,0
"Acute gastroenteritis",2006,"Waitemata","5–9",0,0
"Salmonellosis",2006,"Waitemata","5–9",8,23.4
"Malaria",2006,"Waitemata","5–9",0,0
"Campylobacteriosis",2006,"Waitemata","5–9",99,290.2
"Shigellosis",2006,"Waitemata","5–9",3,8.8
"Trichinosis",2006,"Waitemata","5–9",0,0
"Invasive pneumococcal disease",2006,"Waitemata","5–9",0,0
"Brucellosis",2006,"Waitemata","5–9",0,0
"Hepatitis A",2006,"Waitemata","5–9",2,5.9
"Rheumatic fever",2006,"Waitemata","5–9",0,0
"Rubella",2006,"Waitemata","5–9",0,0
"Mumps",2006,"Waitemata","5–9",1,2.9
"Q fever",2006,"Waitemata","5–9",0,0
"Legionellosis",2006,"Waitemata","5–9",0,0
"Hydatid disease",2006,"Waitemata","5–9",0,0
"Hepatitis C",2006,"Waitemata","5–9",0,0
"Paratyphoid fever",2006,"Waitemata","5–9",0,0
"Yersiniosis",2006,"Waitemata","5–9",2,5.9
"Giardiasis",2006,"Waitemata","5–9",6,17.6
"Leprosy",2006,"Waitemata","5–9",0,0
"VTEC/STEC infection",2006,"Waitemata","5–9",0,0
"Diphtheria",2006,"Waitemata","5–9",0,0
"Measles",2006,"Waitemata","5–9",0,0
"Typhoid fever",2006,"Waitemata","5–9",1,2.9
"Leptospirosis",2006,"Waitemata","5–9",0,0
"Haemophilus influenzae type b",2006,"Waitemata","5–9",1,2.9
"Cysticercosis",2006,"Waitemata","5–9",0,0
"Cholera",2006,"Waitemata","5–9",0,0
"Hepatitis B",2006,"Waitemata","5–9",0,0
"Rickettsial disease",2006,"Waitemata","5–9",0,0
"Tetanus",2006,"Waitemata","5–9",0,0
"Pertussis",2006,"Waitemata","5–9",1,2.9
"Meningococcal disease",2006,"Waitemata","5–9",0,0
"Taeniasis",2006,"Waitemata","5–9",0,0
"Tuberculosis disease",2006,"Waitemata","5–9",0,0
"Campylobacteriosis",2006,"Waitemata","10–14",103,284.2
"Meningoencephalitis - primary amoebic",2006,"Waitemata","10–14",0,0
"Hepatitis NOS",2006,"Waitemata","10–14",0,0
"Listeriosis",2006,"Waitemata","10–14",0,0
"Cryptosporidiosis",2006,"Waitemata","10–14",7,19.3
"Rheumatic fever",2006,"Waitemata","10–14",1,2.8
"Invasive pneumococcal disease",2006,"Waitemata","10–14",0,0
"Legionellosis",2006,"Waitemata","10–14",0,0
"Mumps",2006,"Waitemata","10–14",3,8.3
"Arboviral diseases",2006,"Waitemata","10–14",0,0
"VTEC/STEC infection",2006,"Waitemata","10–14",1,2.8
"Acute gastroenteritis",2006,"Waitemata","10–14",2,5.5
"Rabies and other lyssaviruses",2006,"Waitemata","10–14",0,0
"Hepatitis A",2006,"Waitemata","10–14",1,2.8
"Malaria",2006,"Waitemata","10–14",0,0
"Hydatid disease",2006,"Waitemata","10–14",0,0
"Leprosy",2006,"Waitemata","10–14",0,0
"Trichinosis",2006,"Waitemata","10–14",0,0
"Cholera",2006,"Waitemata","10–14",0,0
"Brucellosis",2006,"Waitemata","10–14",0,0
"Mpox",2006,"Waitemata","10–14",0,0
"Paratyphoid fever",2006,"Waitemata","10–14",0,0
"Salmonellosis",2006,"Waitemata","10–14",3,8.3
"Shigellosis",2006,"Waitemata","10–14",0,0
"Rickettsial disease",2006,"Waitemata","10–14",0,0
"Rubella",2006,"Waitemata","10–14",0,0
"Yersiniosis",2006,"Waitemata","10–14",2,5.5
"Hepatitis C",2006,"Waitemata","10–14",0,0
"Tetanus",2006,"Waitemata","10–14",0,0
"Typhoid fever",2006,"Waitemata","10–14",2,5.5
"Measles",2006,"Waitemata","10–14",0,0
"Tuberculosis disease",2006,"Waitemata","10–14",0,0
"Hepatitis B",2006,"Waitemata","10–14",1,2.8
"Meningococcal disease",2006,"Waitemata","10–14",0,0
"Giardiasis",2006,"Waitemata","10–14",3,8.3
"Haemophilus influenzae type b",2006,"Waitemata","10–14",0,0
"Cysticercosis",2006,"Waitemata","10–14",0,0
"Toxic shellfish poisoning",2006,"Waitemata","10–14",0,0
"Q fever",2006,"Waitemata","10–14",0,0
"Diphtheria",2006,"Waitemata","10–14",0,0
"Poliomyelitis",2006,"Waitemata","10–14",0,0
"Leptospirosis",2006,"Waitemata","10–14",0,0
"Pertussis",2006,"Waitemata","10–14",1,2.8
"Taeniasis",2006,"Waitemata","10–14",0,0
"Invasive pneumococcal disease",2006,"Waitemata","15–19",0,0
"Malaria",2006,"Waitemata","15–19",0,0
"Cryptosporidiosis",2006,"Waitemata","15–19",1,2.7
"Acute gastroenteritis",2006,"Waitemata","15–19",4,10.9
"Rabies and other lyssaviruses",2006,"Waitemata","15–19",0,0
"Listeriosis",2006,"Waitemata","15–19",0,0
"Hepatitis NOS",2006,"Waitemata","15–19",0,0
"Salmonellosis",2006,"Waitemata","15–19",4,10.9
"Arboviral diseases",2006,"Waitemata","15–19",0,0
"Tuberculosis disease",2006,"Waitemata","15–19",0,0
"Rheumatic fever",2006,"Waitemata","15–19",1,2.7
"Brucellosis",2006,"Waitemata","15–19",0,0
"Hepatitis A",2006,"Waitemata","15–19",1,2.7
"Paratyphoid fever",2006,"Waitemata","15–19",1,2.7
"Leprosy",2006,"Waitemata","15–19",0,0
"Legionellosis",2006,"Waitemata","15–19",0,0
"Campylobacteriosis",2006,"Waitemata","15–19",175,476
"VTEC/STEC infection",2006,"Waitemata","15–19",1,2.7
"Haemophilus influenzae type b",2006,"Waitemata","15–19",0,0
"Leptospirosis",2006,"Waitemata","15–19",0,0
"Hepatitis C",2006,"Waitemata","15–19",0,0
"Measles",2006,"Waitemata","15–19",0,0
"Mpox",2006,"Waitemata","15–19",0,0
"Trichinosis",2006,"Waitemata","15–19",0,0
"Tetanus",2006,"Waitemata","15–19",0,0
"Rickettsial disease",2006,"Waitemata","15–19",0,0
"Typhoid fever",2006,"Waitemata","15–19",1,2.7
"Poliomyelitis",2006,"Waitemata","15–19",0,0
"Giardiasis",2006,"Waitemata","15–19",2,5.4
"Yersiniosis",2006,"Waitemata","15–19",2,5.4
"Cholera",2006,"Waitemata","15–19",0,0
"Pertussis",2006,"Waitemata","15–19",2,5.4
"Hepatitis B",2006,"Waitemata","15–19",0,0
"Rubella",2006,"Waitemata","15–19",0,0
"Meningococcal disease",2006,"Waitemata","15–19",1,2.7
"Hydatid disease",2006,"Waitemata","15–19",0,0
