"Disease","Report Year","DHBName","Ethnic Group","Case Count","Case rate per 100,000"
"Malaria",2006,"Waitemata","Māori",0,0
"Trichinosis",2006,"Waitemata","Māori",0,0
"Cysticercosis",2006,"Waitemata","Māori",0,0
"Taeniasis",2006,"Waitemata","Māori",0,0
"Salmonellosis",2006,"Waitemata","Māori",8,19.7
"Giardiasis",2006,"Waitemata","Māori",2,4.9
"Yersiniosis",2006,"Waitemata","Māori",2,4.9
"Campylobacteriosis",2006,"Waitemata","Māori",34,83.6
"Diphtheria",2006,"Waitemata","Māori",0,0
"Meningococcal disease",2006,"Waitemata","Māori",0,0
"Q fever",2006,"Waitemata","Māori",0,0
"Paratyphoid fever",2006,"Waitemata","Māori",0,0
"Poliomyelitis",2006,"Waitemata","Māori",0,0
"Hepatitis C",2006,"Waitemata","Māori",0,0
"Hepatitis A",2006,"Waitemata","Māori",1,2.5
"Cryptosporidiosis",2006,"Waitemata","Māori",1,2.5
"Tuberculosis disease",2006,"Waitemata","Māori",2,4.9
"Rheumatic fever",2006,"Waitemata","Māori",1,2.5
"Arboviral diseases",2006,"Waitemata","Māori",0,0
"Shigellosis",2006,"Waitemata","Māori",2,4.9
"Pertussis",2006,"Waitemata","Māori",3,7.4
"Acute gastroenteritis",2006,"Waitemata","Māori",2,4.9
"Meningoencephalitis - primary amoebic",2006,"Waitemata","Māori",0,0
"Haemophilus influenzae type b",2006,"Waitemata","Māori",0,0
"Leprosy",2006,"Waitemata","Māori",0,0
"Rubella",2006,"Waitemata","Māori",0,0
"Toxic shellfish poisoning",2006,"Waitemata","Māori",0,0
"Legionellosis",2006,"Waitemata","Māori",0,0
"Mumps",2006,"Waitemata","Māori",0,0
"Measles",2006,"Waitemata","Māori",1,2.5
"Typhoid fever",2006,"Waitemata","Māori",0,0
"Rickettsial disease",2006,"Waitemata","Māori",0,0
"VTEC/STEC infection",2006,"Waitemata","Māori",0,0
"Hepatitis B",2006,"Waitemata","Māori",0,0
"Hepatitis NOS",2006,"Waitemata","Māori",0,0
"Hydatid disease",2006,"Waitemata","Māori",0,0
"Leptospirosis",2006,"Waitemata","Māori",0,0
"Tetanus",2006,"Waitemata","Māori",0,0
"Mpox",2006,"Waitemata","Māori",0,0
"Brucellosis",2006,"Waitemata","Māori",0,0
"Invasive pneumococcal disease",2006,"Waitemata","Māori",0,0
"Listeriosis",2006,"Waitemata","Māori",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","Māori",0,0
"Cholera",2006,"Waitemata","Māori",0,0
"Shigellosis",2006,"Waitemata","Pacific",2,6
"Q fever",2006,"Waitemata","Pacific",0,0
"Cysticercosis",2006,"Waitemata","Pacific",0,0
"Yersiniosis",2006,"Waitemata","Pacific",0,0
"Poliomyelitis",2006,"Waitemata","Pacific",0,0
"Paratyphoid fever",2006,"Waitemata","Pacific",0,0
"Hepatitis NOS",2006,"Waitemata","Pacific",0,0
"Diphtheria",2006,"Waitemata","Pacific",0,0
"Rabies and other lyssaviruses",2006,"Waitemata","Pacific",0,0
"Meningococcal disease",2006,"Waitemata","Pacific",2,6
"Legionellosis",2006,"Waitemata","Pacific",1,3
"Taeniasis",2006,"Waitemata","Pacific",0,0
"Arboviral diseases",2006,"Waitemata","Pacific",0,0
"Toxic shellfish poisoning",2006,"Waitemata","Pacific",0,0
"VTEC/STEC infection",2006,"Waitemata","Pacific",2,6
"Hydatid disease",2006,"Waitemata","Pacific",0,0
"Giardiasis",2006,"Waitemata","Pacific",0,0
"Acute gastroenteritis",2006,"Waitemata","Pacific",1,3
"Trichinosis",2006,"Waitemata","Pacific",0,0
"Tuberculosis disease",2006,"Waitemata","Pacific",3,9
"Listeriosis",2006,"Waitemata","Pacific",1,3
"Salmonellosis",2006,"Waitemata","Pacific",5,15
"Cryptosporidiosis",2006,"Waitemata","Pacific",0,0
"Rheumatic fever",2006,"Waitemata","Pacific",2,6
"Malaria",2006,"Waitemata","Pacific",1,3
"Leprosy",2006,"Waitemata","Pacific",0,0
"Rickettsial disease",2006,"Waitemata","Pacific",0,0
"Haemophilus influenzae type b",2006,"Waitemata","Pacific",0,0
"Typhoid fever",2006,"Waitemata","Pacific",7,21
"Hepatitis B",2006,"Waitemata","Pacific",2,6
"Measles",2006,"Waitemata","Pacific",0,0
"Brucellosis",2006,"Waitemata","Pacific",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","Pacific",0,0
"Leptospirosis",2006,"Waitemata","Pacific",0,0
"Mpox",2006,"Waitemata","Pacific",0,0
"Mumps",2006,"Waitemata","Pacific",1,3
"Campylobacteriosis",2006,"Waitemata","Pacific",22,66
"Rubella",2006,"Waitemata","Pacific",0,0
"Hepatitis C",2006,"Waitemata","Pacific",0,0
"Invasive pneumococcal disease",2006,"Waitemata","Pacific",0,0
"Hepatitis A",2006,"Waitemata","Pacific",3,9
"Tetanus",2006,"Waitemata","Pacific",0,0
"Pertussis",2006,"Waitemata","Pacific",0,0
"Cholera",2006,"Waitemata","Pacific",0,0
