"Disease","Report Year","DHBName","Sex Group","Case Count","Case rate per 100,000"
"Measles",2006,"Waitemata","Male",0,0
"Malaria",2006,"Waitemata","Male",1,0.4
"Leprosy",2006,"Waitemata","Male",0,0
"Giardiasis",2006,"Waitemata","Male",55,23.2
"Typhoid fever",2006,"Waitemata","Male",5,2.1
"Taeniasis",2006,"Waitemata","Male",0,0
"Rickettsial disease",2006,"Waitemata","Male",0,0
"Diphtheria",2006,"Waitemata","Male",0,0
"Tuberculosis disease",2006,"Waitemata","Male",9,3.8
"Meningoencephalitis - primary amoebic",2006,"Waitemata","Male",0,0
"Cysticercosis",2006,"Waitemata","Male",0,0
"Pertussis",2006,"Waitemata","Male",3,1.3
"Mpox",2006,"Waitemata","Male",0,0
"Rheumatic fever",2006,"Waitemata","Male",0,0
"Q fever",2006,"Waitemata","Male",0,0
"Haemophilus influenzae type b",2006,"Waitemata","Male",1,0.4
"Poliomyelitis",2006,"Waitemata","Male",0,0
"Tetanus",2006,"Waitemata","Male",0,0
"Shigellosis",2006,"Waitemata","Male",7,3
"Trichinosis",2006,"Waitemata","Male",0,0
"Hepatitis C",2006,"Waitemata","Male",1,0.4
"Legionellosis",2006,"Waitemata","Male",5,2.1
"Rabies and other lyssaviruses",2006,"Waitemata","Male",0,0
"Paratyphoid fever",2006,"Waitemata","Male",1,0.4
"Hepatitis B",2006,"Waitemata","Male",8,3.4
"Hydatid disease",2006,"Waitemata","Male",0,0
"Invasive pneumococcal disease",2006,"Waitemata","Male",0,0
"VTEC/STEC infection",2006,"Waitemata","Male",5,2.1
"Cryptosporidiosis",2006,"Waitemata","Male",25,10.5
"Campylobacteriosis",2006,"Waitemata","Male",1169,493.2
"Hepatitis NOS",2006,"Waitemata","Male",0,0
"Arboviral diseases",2006,"Waitemata","Male",1,0.4
"Yersiniosis",2006,"Waitemata","Male",20,8.4
"Acute gastroenteritis",2006,"Waitemata","Male",35,14.8
"Mumps",2006,"Waitemata","Male",3,1.3
"Brucellosis",2006,"Waitemata","Male",0,0
"Meningococcal disease",2006,"Waitemata","Male",2,0.8
"Listeriosis",2006,"Waitemata","Male",1,0.4
"Leptospirosis",2006,"Waitemata","Male",0,0
"Hepatitis A",2006,"Waitemata","Male",8,3.4
"Cholera",2006,"Waitemata","Male",0,0
"Salmonellosis",2006,"Waitemata","Male",62,26.2
"Toxic shellfish poisoning",2006,"Waitemata","Male",0,0
"Rubella",2006,"Waitemata","Male",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","Female",0,0
"Leprosy",2006,"Waitemata","Female",1,0.4
"Trichinosis",2006,"Waitemata","Female",0,0
"Taeniasis",2006,"Waitemata","Female",0,0
"Hydatid disease",2006,"Waitemata","Female",0,0
"Q fever",2006,"Waitemata","Female",0,0
"Hepatitis B",2006,"Waitemata","Female",3,1.2
"Mpox",2006,"Waitemata","Female",0,0
"Hepatitis NOS",2006,"Waitemata","Female",0,0
"Typhoid fever",2006,"Waitemata","Female",4,1.6
"Haemophilus influenzae type b",2006,"Waitemata","Female",0,0
"Campylobacteriosis",2006,"Waitemata","Female",1079,435.4
"Toxic shellfish poisoning",2006,"Waitemata","Female",0,0
"Tetanus",2006,"Waitemata","Female",0,0
"Invasive pneumococcal disease",2006,"Waitemata","Female",0,0
"Hepatitis C",2006,"Waitemata","Female",0,0
"Poliomyelitis",2006,"Waitemata","Female",0,0
"Leptospirosis",2006,"Waitemata","Female",1,0.4
"Rabies and other lyssaviruses",2006,"Waitemata","Female",0,0
"Rickettsial disease",2006,"Waitemata","Female",0,0
"Cryptosporidiosis",2006,"Waitemata","Female",25,10.1
"Pertussis",2006,"Waitemata","Female",11,4.4
"Hepatitis A",2006,"Waitemata","Female",7,2.8
"Cholera",2006,"Waitemata","Female",0,0
"Diphtheria",2006,"Waitemata","Female",0,0
"Listeriosis",2006,"Waitemata","Female",3,1.2
"VTEC/STEC infection",2006,"Waitemata","Female",7,2.8
"Arboviral diseases",2006,"Waitemata","Female",1,0.4
"Legionellosis",2006,"Waitemata","Female",0,0
"Yersiniosis",2006,"Waitemata","Female",19,7.7
"Measles",2006,"Waitemata","Female",2,0.8
"Shigellosis",2006,"Waitemata","Female",11,4.4
"Brucellosis",2006,"Waitemata","Female",0,0
"Cysticercosis",2006,"Waitemata","Female",0,0
"Salmonellosis",2006,"Waitemata","Female",69,27.8
"Rheumatic fever",2006,"Waitemata","Female",2,0.8
"Giardiasis",2006,"Waitemata","Female",59,23.8
"Acute gastroenteritis",2006,"Waitemata","Female",44,17.8
"Meningococcal disease",2006,"Waitemata","Female",4,1.6
"Mumps",2006,"Waitemata","Female",3,1.2
"Rubella",2006,"Waitemata","Female",0,0
"Tuberculosis disease",2006,"Waitemata","Female",22,8.9
"Malaria",2006,"Waitemata","Female",0,0
"Paratyphoid fever",2006,"Waitemata","Female",1,0.4
"Rabies and other lyssaviruses",2006,"Auckland","Male",0,0
"Q fever",2006,"Auckland","Male",0,0
"Toxic shellfish poisoning",2006,"Auckland","Male",0,0
"Tetanus",2006,"Auckland","Male",0,0
"Leprosy",2006,"Auckland","Male",1,0.5
"Meningoencephalitis - primary amoebic",2006,"Auckland","Male",0,0
"Pertussis",2006,"Auckland","Male",7,3.5
"Cysticercosis",2006,"Auckland","Male",0,0
"Campylobacteriosis",2006,"Auckland","Male",905,455.8
"Shigellosis",2006,"Auckland","Male",5,2.5
"Hepatitis NOS",2006,"Auckland","Male",0,0
"VTEC/STEC infection",2006,"Auckland","Male",2,1
"Hydatid disease",2006,"Auckland","Male",0,0
"Giardiasis",2006,"Auckland","Male",90,45.3
