"Disease","Report Year","DHBName","Case Count","Case rate per 100,000"
"Rabies and other lyssaviruses",2006,"Waitemata",0,0
"Taeniasis",2006,"Waitemata",0,0
"Leptospirosis",2006,"Waitemata",1,0.2
"Tetanus",2006,"Waitemata",0,0
"Trichinosis",2006,"Waitemata",0,0
"Hepatitis B",2006,"Waitemata",11,2.3
"Meningococcal disease",2006,"Waitemata",6,1.2
"Giardiasis",2006,"Waitemata",118,24.3
"Typhoid fever",2006,"Waitemata",9,1.9
"Arboviral diseases",2006,"Waitemata",2,0.4
"Acute gastroenteritis",2006,"Waitemata",79,16.3
"Cryptosporidiosis",2006,"Waitemata",50,10.3
"Q fever",2006,"Waitemata",0,0
"Salmonellosis",2006,"Waitemata",131,27
"Yersiniosis",2006,"Waitemata",41,8.5
"Paratyphoid fever",2006,"Waitemata",2,0.4
"Invasive pneumococcal disease",2006,"Waitemata",0,0
"Hepatitis NOS",2006,"Waitemata",0,0
"Hydatid disease",2006,"Waitemata",0,0
"Legionellosis",2006,"Waitemata",5,1
"Hepatitis C",2006,"Waitemata",1,0.2
"Brucellosis",2006,"Waitemata",0,0
"Hepatitis A",2006,"Waitemata",15,3.1
"Malaria",2006,"Waitemata",1,0.2
"Cysticercosis",2006,"Waitemata",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata",0,0
"Toxic shellfish poisoning",2006,"Waitemata",0,0
"Haemophilus influenzae type b",2006,"Waitemata",1,0.2
"Leprosy",2006,"Waitemata",1,0.2
"Rheumatic fever",2006,"Waitemata",3,0.6
"Diphtheria",2006,"Waitemata",0,0
"Cholera",2006,"Waitemata",0,0
"Pertussis",2006,"Waitemata",14,2.9
"VTEC/STEC infection",2006,"Waitemata",12,2.5
"Measles",2006,"Waitemata",2,0.4
"Rickettsial disease",2006,"Waitemata",0,0
"Tuberculosis disease",2006,"Waitemata",31,6.4
"Rubella",2006,"Waitemata",0,0
"Shigellosis",2006,"Waitemata",19,3.9
"Mumps",2006,"Waitemata",6,1.2
"Mpox",2006,"Waitemata",0,0
"Poliomyelitis",2006,"Waitemata",0,0
"Campylobacteriosis",2006,"Waitemata",2319,478.3
"Listeriosis",2006,"Waitemata",4,0.8
"Leptospirosis",2006,"Auckland",0,0
"Trichinosis",2006,"Auckland",0,0
"Meningoencephalitis - primary amoebic",2006,"Auckland",0,0
"Measles",2006,"Auckland",1,0.2
"Typhoid fever",2006,"Auckland",1,0.2
"Malaria",2006,"Auckland",4,1
"Meningococcal disease",2006,"Auckland",15,3.7
"Hepatitis B",2006,"Auckland",6,1.5
"Diphtheria",2006,"Auckland",0,0
"Mumps",2006,"Auckland",5,1.2
"Q fever",2006,"Auckland",0,0
"Haemophilus influenzae type b",2006,"Auckland",1,0.2
"Leprosy",2006,"Auckland",1,0.2
"Tetanus",2006,"Auckland",0,0
"Hepatitis NOS",2006,"Auckland",0,0
"Hydatid disease",2006,"Auckland",0,0
"Legionellosis",2006,"Auckland",4,1
"Taeniasis",2006,"Auckland",0,0
"Brucellosis",2006,"Auckland",0,0
"Shigellosis",2006,"Auckland",21,5.2
"Rabies and other lyssaviruses",2006,"Auckland",0,0
"Rubella",2006,"Auckland",2,0.5
"Listeriosis",2006,"Auckland",1,0.2
"Toxic shellfish poisoning",2006,"Auckland",0,0
"Salmonellosis",2006,"Auckland",109,26.8
"Yersiniosis",2006,"Auckland",45,11.1
"Invasive pneumococcal disease",2006,"Auckland",0,0
"Paratyphoid fever",2006,"Auckland",2,0.5
"Cholera",2006,"Auckland",0,0
"Poliomyelitis",2006,"Auckland",0,0
"Hepatitis C",2006,"Auckland",1,0.2
"Giardiasis",2006,"Auckland",158,38.8
"Hepatitis A",2006,"Auckland",10,2.5
"Arboviral diseases",2006,"Auckland",1,0.2
"Acute gastroenteritis",2006,"Auckland",83,20.4
"Cysticercosis",2006,"Auckland",0,0
"Mpox",2006,"Auckland",0,0
"Cryptosporidiosis",2006,"Auckland",34,8.4
"Tuberculosis disease",2006,"Auckland",56,13.8
"VTEC/STEC infection",2006,"Auckland",3,0.7
"Rheumatic fever",2006,"Auckland",8,2
"Rickettsial disease",2006,"Auckland",0,0
"Campylobacteriosis",2006,"Auckland",1813,445.7
"Pertussis",2006,"Auckland",15,3.7
"Salmonellosis",2006,"Bay of Plenty",53,27.5
