"Disease","Report Year","Age Group (year)","Case Count","Case rate per 100,000"
"Arboviral diseases",2006,"0–4",0,0
"Rheumatic fever",2006,"0–4",0,0
"Meningoencephalitis - primary amoebic",2006,"0–4",0,0
"Haemophilus influenzae type b",2006,"0–4",5,1.8
"Rubella",2006,"0–4",5,1.8
"Meningococcal disease",2006,"0–4",62,22.4
"Q fever",2006,"0–4",0,0
"Paratyphoid fever",2006,"0–4",2,0.7
"Mpox",2006,"0–4",0,0
"Measles",2006,"0–4",18,6.5
"Mumps",2006,"0–4",11,4
"Malaria",2006,"0–4",0,0
"Trichinosis",2006,"0–4",0,0
"VTEC/STEC infection",2006,"0–4",44,15.9
"Poliomyelitis",2006,"0–4",0,0
"Typhoid fever",2006,"0–4",6,2.2
"Taeniasis",2006,"0–4",0,0
"Toxic shellfish poisoning",2006,"0–4",0,0
"Pertussis",2006,"0–4",90,32.6
"Tetanus",2006,"0–4",0,0
"Brucellosis",2006,"0–4",0,0
"Listeriosis",2006,"0–4",2,0.7
"Rickettsial disease",2006,"0–4",0,0
"Yersiniosis",2006,"0–4",110,39.8
"Hepatitis A",2006,"0–4",16,5.8
"Hepatitis NOS",2006,"0–4",0,0
"Invasive pneumococcal disease",2006,"0–4",0,0
"Cholera",2006,"0–4",0,0
"Giardiasis",2006,"0–4",278,100.6
"Leprosy",2006,"0–4",0,0
"Diphtheria",2006,"0–4",0,0
"Tuberculosis disease",2006,"0–4",12,4.3
"Hepatitis B",2006,"0–4",0,0
"Cryptosporidiosis",2006,"0–4",271,98
"Rabies and other lyssaviruses",2006,"0–4",0,0
"Campylobacteriosis",2006,"0–4",1461,528.5
"Hepatitis C",2006,"0–4",0,0
"Cysticercosis",2006,"0–4",0,0
"Legionellosis",2006,"0–4",0,0
"Shigellosis",2006,"0–4",15,5.4
"Acute gastroenteritis",2006,"0–4",26,9.4
"Salmonellosis",2006,"0–4",363,131.3
"Hydatid disease",2006,"0–4",0,0
"Leptospirosis",2006,"0–4",0,0
"Measles",2006,"45–49",0,0
"Brucellosis",2006,"45–49",0,0
"Hepatitis A",2006,"45–49",3,1
"Yersiniosis",2006,"45–49",31,10.6
"Diphtheria",2006,"45–49",0,0
"Rheumatic fever",2006,"45–49",0,0
"Taeniasis",2006,"45–49",0,0
"Trichinosis",2006,"45–49",0,0
"Cholera",2006,"45–49",0,0
"Pertussis",2006,"45–49",83,28.3
"Tuberculosis disease",2006,"45–49",18,6.1
"Typhoid fever",2006,"45–49",1,0.3
"Paratyphoid fever",2006,"45–49",0,0
"Rabies and other lyssaviruses",2006,"45–49",0,0
"Hydatid disease",2006,"45–49",0,0
"VTEC/STEC infection",2006,"45–49",3,1
"Mumps",2006,"45–49",3,1
"Salmonellosis",2006,"45–49",64,21.8
"Cysticercosis",2006,"45–49",0,0
"Shigellosis",2006,"45–49",5,1.7
"Giardiasis",2006,"45–49",57,19.4
"Leprosy",2006,"45–49",0,0
"Cryptosporidiosis",2006,"45–49",22,7.5
"Hepatitis B",2006,"45–49",6,2
"Listeriosis",2006,"45–49",0,0
"Meningoencephalitis - primary amoebic",2006,"45–49",0,0
"Tetanus",2006,"45–49",0,0
"Campylobacteriosis",2006,"45–49",1017,346.6
"Malaria",2006,"45–49",0,0
"Q fever",2006,"45–49",0,0
"Invasive pneumococcal disease",2006,"45–49",0,0
"Rickettsial disease",2006,"45–49",2,0.7
"Toxic shellfish poisoning",2006,"45–49",0,0
"Rubella",2006,"45–49",0,0
"Hepatitis C",2006,"45–49",1,0.3
"Poliomyelitis",2006,"45–49",0,0
"Haemophilus influenzae type b",2006,"45–49",0,0
"Mpox",2006,"45–49",0,0
"Arboviral diseases",2006,"45–49",2,0.7
"Acute gastroenteritis",2006,"45–49",58,19.8
"Leptospirosis",2006,"45–49",12,4.1
"Hepatitis NOS",2006,"45–49",0,0
"Meningococcal disease",2006,"45–49",7,2.4
"Legionellosis",2006,"45–49",4,1.4
"Pertussis",2006,"50–54",82,32.4
"Hydatid disease",2006,"50–54",0,0
"Rabies and other lyssaviruses",2006,"50–54",0,0
"Taeniasis",2006,"50–54",0,0
"Yersiniosis",2006,"50–54",37,14.6
"Acute gastroenteritis",2006,"50–54",78,30.8
"Diphtheria",2006,"50–54",0,0
"Typhoid fever",2006,"50–54",0,0
"Mpox",2006,"50–54",0,0
"Cryptosporidiosis",2006,"50–54",21,8.3
"Hepatitis A",2006,"50–54",5,2
"Campylobacteriosis",2006,"50–54",999,394.2
"Paratyphoid fever",2006,"50–54",2,0.8
"Cysticercosis",2006,"50–54",0,0
"Legionellosis",2006,"50–54",5,2
"Cholera",2006,"50–54",0,0
"Toxic shellfish poisoning",2006,"50–54",0,0
"Poliomyelitis",2006,"50–54",0,0
"Leprosy",2006,"50–54",1,0.4
"Tuberculosis disease",2006,"50–54",17,6.7
"Listeriosis",2006,"50–54",1,0.4
"Q fever",2006,"50–54",0,0
"Brucellosis",2006,"50–54",0,0
"Tetanus",2006,"50–54",0,0
"VTEC/STEC infection",2006,"50–54",2,0.8
"Arboviral diseases",2006,"50–54",1,0.4
"Giardiasis",2006,"50–54",55,21.7
"Rheumatic fever",2006,"50–54",0,0
"Leptospirosis",2006,"50–54",15,5.9
"Hepatitis B",2006,"50–54",2,0.8
"Hepatitis C",2006,"50–54",2,0.8
"Rubella",2006,"50–54",0,0
"Meningococcal disease",2006,"50–54",4,1.6
"Malaria",2006,"50–54",0,0
"Hepatitis NOS",2006,"50–54",0,0
"Shigellosis",2006,"50–54",4,1.6
"Measles",2006,"50–54",0,0
"Trichinosis",2006,"50–54",0,0
"Haemophilus influenzae type b",2006,"50–54",0,0
"Rickettsial disease",2006,"50–54",2,0.8
"Salmonellosis",2006,"50–54",70,27.6
"Meningoencephalitis - primary amoebic",2006,"50–54",0,0
"Invasive pneumococcal disease",2006,"50–54",0,0
"Mumps",2006,"50–54",0,0
"VTEC/STEC infection",2006,"55–59",1,0.4
"Measles",2006,"55–59",0,0
"Toxic shellfish poisoning",2006,"55–59",0,0
"Q fever",2006,"55–59",0,0
"Tuberculosis disease",2006,"55–59",16,6.8
"Hepatitis A",2006,"55–59",5,2.1
"Paratyphoid fever",2006,"55–59",2,0.9
"Cholera",2006,"55–59",0,0
"Malaria",2006,"55–59",1,0.4
"Typhoid fever",2006,"55–59",0,0
"Listeriosis",2006,"55–59",1,0.4
"Legionellosis",2006,"55–59",7,3
"Leptospirosis",2006,"55–59",6,2.6
"Cysticercosis",2006,"55–59",0,0
"Leprosy",2006,"55–59",0,0
"Acute gastroenteritis",2006,"55–59",53,22.7
"Hepatitis B",2006,"55–59",3,1.3
"Giardiasis",2006,"55–59",62,26.5
"Poliomyelitis",2006,"55–59",0,0
"Cryptosporidiosis",2006,"55–59",11,4.7
"Tetanus",2006,"55–59",0,0
"Brucellosis",2006,"55–59",0,0
"Hepatitis C",2006,"55–59",1,0.4
"Rubella",2006,"55–59",0,0
"Rabies and other lyssaviruses",2006,"55–59",0,0
"Campylobacteriosis",2006,"55–59",892,381.7
"Hepatitis NOS",2006,"55–59",0,0
"Arboviral diseases",2006,"55–59",2,0.9
"Taeniasis",2006,"55–59",0,0
"Invasive pneumococcal disease",2006,"55–59",0,0
"Haemophilus influenzae type b",2006,"55–59",0,0
"Pertussis",2006,"55–59",84,35.9
"Diphtheria",2006,"55–59",0,0
"Meningoencephalitis - primary amoebic",2006,"55–59",0,0
"Mpox",2006,"55–59",0,0
"Salmonellosis",2006,"55–59",73,31.2
"Rheumatic fever",2006,"55–59",0,0
"Hydatid disease",2006,"55–59",0,0
"Trichinosis",2006,"55–59",0,0
"Shigellosis",2006,"55–59",6,2.6
"Meningococcal disease",2006,"55–59",5,2.1
"Mumps",2006,"55–59",0,0
"Rickettsial disease",2006,"55–59",1,0.4
"Yersiniosis",2006,"55–59",23,9.8
"Tetanus",2006,"60–64",0,0
"Measles",2006,"60–64",0,0
"Listeriosis",2006,"60–64",0,0
"Leptospirosis",2006,"60–64",2,1.1
"Paratyphoid fever",2006,"60–64",1,0.6
"Cholera",2006,"60–64",0,0
"Hepatitis A",2006,"60–64",6,3.3
"Typhoid fever",2006,"60–64",0,0
"VTEC/STEC infection",2006,"60–64",3,1.7
"Malaria",2006,"60–64",1,0.6
"Q fever",2006,"60–64",0,0
"Toxic shellfish poisoning",2006,"60–64",0,0
"Taeniasis",2006,"60–64",0,0
"Hepatitis B",2006,"60–64",3,1.7
"Haemophilus influenzae type b",2006,"60–64",1,0.6
"Giardiasis",2006,"60–64",62,34.5
"Cryptosporidiosis",2006,"60–64",6,3.3
"Legionellosis",2006,"60–64",6,3.3
"Brucellosis",2006,"60–64",0,0
"Hepatitis C",2006,"60–64",0,0
"Meningococcal disease",2006,"60–64",0,0
"Rabies and other lyssaviruses",2006,"60–64",0,0
"Acute gastroenteritis",2006,"60–64",47,26.2
"Hepatitis NOS",2006,"60–64",0,0
"Poliomyelitis",2006,"60–64",0,0
"Leprosy",2006,"60–64",0,0
"Cysticercosis",2006,"60–64",0,0
"Mumps",2006,"60–64",0,0
"Pertussis",2006,"60–64",61,34
"Diphtheria",2006,"60–64",0,0
"Tuberculosis disease",2006,"60–64",15,8.4
"Mpox",2006,"60–64",0,0
"Rickettsial disease",2006,"60–64",1,0.6
"Yersiniosis",2006,"60–64",19,10.6
"Hydatid disease",2006,"60–64",0,0
"Trichinosis",2006,"60–64",0,0
"Arboviral diseases",2006,"60–64",0,0
