"Disease","Report Year","Ethnic Group","Case Count","Case rate per 100,000"
"Arboviral diseases",2006,"Māori",2,0.4
"Trichinosis",2006,"Māori",0,0
"Hepatitis NOS",2006,"Māori",0,0
"Cholera",2006,"Māori",0,0
"Legionellosis",2006,"Māori",0,0
"Malaria",2006,"Māori",1,0.2
"Shigellosis",2006,"Māori",6,1.2
"Cysticercosis",2006,"Māori",0,0
"Diphtheria",2006,"Māori",0,0
"Rheumatic fever",2006,"Māori",57,10.9
"VTEC/STEC infection",2006,"Māori",5,1
"Poliomyelitis",2006,"Māori",0,0
"Invasive pneumococcal disease",2006,"Māori",0,0
"Taeniasis",2006,"Māori",0,0
"Hepatitis B",2006,"Māori",8,1.5
"Haemophilus influenzae type b",2006,"Māori",3,0.6
"Cryptosporidiosis",2006,"Māori",49,9.4
"Hepatitis A",2006,"Māori",6,1.2
"Leptospirosis",2006,"Māori",18,3.5
"Paratyphoid fever",2006,"Māori",0,0
"Rubella",2006,"Māori",1,0.2
"Measles",2006,"Māori",2,0.4
"Toxic shellfish poisoning",2006,"Māori",0,0
"Meningoencephalitis - primary amoebic",2006,"Māori",0,0
"Rickettsial disease",2006,"Māori",0,0
"Mpox",2006,"Māori",0,0
"Q fever",2006,"Māori",0,0
"Tetanus",2006,"Māori",0,0
"Hepatitis C",2006,"Māori",7,1.3
"Campylobacteriosis",2006,"Māori",821,157.4
"Meningococcal disease",2006,"Māori",44,8.4
"Listeriosis",2006,"Māori",0,0
"Salmonellosis",2006,"Māori",110,21.1
"Mumps",2006,"Māori",5,1
"Brucellosis",2006,"Māori",0,0
"Yersiniosis",2006,"Māori",31,5.9
"Tuberculosis disease",2006,"Māori",62,11.9
"Leprosy",2006,"Māori",0,0
"Hydatid disease",2006,"Māori",0,0
"Rabies and other lyssaviruses",2006,"Māori",0,0
"Typhoid fever",2006,"Māori",3,0.6
"Giardiasis",2006,"Māori",70,13.4
"Acute gastroenteritis",2006,"Māori",40,7.7
"Pertussis",2006,"Māori",122,23.4
"Brucellosis",2006,"Pacific",0,0
"Rabies and other lyssaviruses",2006,"Pacific",0,0
"Cryptosporidiosis",2006,"Pacific",9,3.6
"Malaria",2006,"Pacific",9,3.6
"Cholera",2006,"Pacific",0,0
"Mpox",2006,"Pacific",0,0
"Poliomyelitis",2006,"Pacific",0,0
"Leprosy",2006,"Pacific",2,0.8
"Rheumatic fever",2006,"Pacific",35,14
"VTEC/STEC infection",2006,"Pacific",2,0.8
"Salmonellosis",2006,"Pacific",46,18.4
"Trichinosis",2006,"Pacific",0,0
"Arboviral diseases",2006,"Pacific",2,0.8
"Hepatitis B",2006,"Pacific",16,6.4
"Taeniasis",2006,"Pacific",0,0
"Acute gastroenteritis",2006,"Pacific",16,6.4
"Shigellosis",2006,"Pacific",11,4.4
"Cysticercosis",2006,"Pacific",0,0
"Mumps",2006,"Pacific",9,3.6
"Meningoencephalitis - primary amoebic",2006,"Pacific",0,0
"Measles",2006,"Pacific",1,0.4
"Toxic shellfish poisoning",2006,"Pacific",1,0.4
"Tuberculosis disease",2006,"Pacific",47,18.8
"Q fever",2006,"Pacific",0,0
"Tetanus",2006,"Pacific",0,0
"Invasive pneumococcal disease",2006,"Pacific",0,0
"Campylobacteriosis",2006,"Pacific",201,80.6
"Haemophilus influenzae type b",2006,"Pacific",0,0
"Hepatitis NOS",2006,"Pacific",0,0
"Hepatitis A",2006,"Pacific",43,17.2
"Listeriosis",2006,"Pacific",4,1.6
"Diphtheria",2006,"Pacific",0,0
"Rubella",2006,"Pacific",0,0
"Meningococcal disease",2006,"Pacific",24,9.6
"Rickettsial disease",2006,"Pacific",0,0
"Pertussis",2006,"Pacific",20,8
"Leptospirosis",2006,"Pacific",0,0
"Hepatitis C",2006,"Pacific",1,0.4
"Giardiasis",2006,"Pacific",11,4.4
"Legionellosis",2006,"Pacific",4,1.6
